,sensor_type,sensor_value
0,heart_rate,112.0
1,heart_rate,112.0
2,heart_rate,112.0
3,heart_rate,112.0
4,heart_rate,112.0
5,heart_rate,31.9311
6,heart_rate,30.1621
7,heart_rate,20.5953
8,heart_rate,55.9896
9,heart_rate,49.363
10,heart_rate,46.7837
11,heart_rate,48.5516
12,heart_rate,55.3871
13,heart_rate,59.37
14,heart_rate,42.5458
15,heart_rate,28.3983
16,heart_rate,19.3182
17,heart_rate,52.6583
18,heart_rate,36.9513
19,heart_rate,54.687
20,heart_rate,39.0667
21,heart_rate,22.5061
22,heart_rate,2.2964
23,heart_rate,33.3742
24,heart_rate,68.3237
25,heart_rate,52.9354
26,heart_rate,6.7784
27,heart_rate,26.0124
28,heart_rate,32.9693
29,heart_rate,10.5241
30,heart_rate,31.0759
31,heart_rate,46.1649
32,heart_rate,61.3825
33,heart_rate,64.428
34,heart_rate,4.0376
35,heart_rate,52.4263
36,heart_rate,57.4903
37,heart_rate,38.7859
38,heart_rate,66.383
39,heart_rate,1.8849
40,heart_rate,73.3419
41,heart_rate,25.2762
42,heart_rate,28.0085
43,heart_rate,49.0194
44,heart_rate,0.2627
45,heart_rate,29.4671
46,heart_rate,29.8827
47,heart_rate,8.1418
48,heart_rate,8.8221
49,heart_rate,6.2295
50,heart_rate,53.4427
51,heart_rate,1.0395
52,heart_rate,58.8005
53,heart_rate,32.4729
54,heart_rate,39.5471
55,heart_rate,44.919
56,heart_rate,33.8813
57,heart_rate,20.2507
58,heart_rate,15.2571
59,heart_rate,27.2179
60,heart_rate,28.9908
61,heart_rate,16.6229
62,heart_rate,48.4283
63,heart_rate,33.599
64,heart_rate,71.6478
65,heart_rate,13.3194
66,heart_rate,4.1061
67,heart_rate,47.7769
68,heart_rate,31.6859
69,heart_rate,0.9431
70,heart_rate,1.4871
71,heart_rate,13.3322
72,heart_rate,22.6275
73,heart_rate,46.4612
74,heart_rate,52.7633
75,heart_rate,36.5379
76,heart_rate,45.1403
77,heart_rate,29.601
78,heart_rate,47.9601
79,heart_rate,60.9343
80,heart_rate,37.4002
81,heart_rate,22.4019
82,heart_rate,51.3313
83,heart_rate,37.5593
84,heart_rate,51.166
85,heart_rate,57.8547
86,heart_rate,67.7095
87,heart_rate,35.242
88,heart_rate,54.4487
89,heart_rate,2.2164
90,heart_rate,12.7629
91,heart_rate,18.0395
92,heart_rate,5.6658
93,heart_rate,40.6138
94,heart_rate,12.9984
95,heart_rate,73.0635
96,heart_rate,63.4475
97,heart_rate,7.9511
98,heart_rate,30.6899
99,heart_rate,63.7077
100,heart_rate,57.3165
101,heart_rate,11.4501
102,heart_rate,4.6268
103,heart_rate,2.7941
104,heart_rate,10.7901
105,heart_rate,66.9808
106,heart_rate,21.6115
107,heart_rate,5.9457
108,heart_rate,58.2911
109,heart_rate,62.9931
110,heart_rate,61.5301
111,heart_rate,66.7649
112,heart_rate,35.9397
113,heart_rate,39.4223
114,heart_rate,41.3239
115,heart_rate,9.1687
116,heart_rate,68.2568
117,heart_rate,56.9089
118,heart_rate,63.2706
119,heart_rate,24.1875
120,heart_rate,9.9648
121,heart_rate,49.6679
122,heart_rate,30.1196
123,heart_rate,36.0849
124,heart_rate,10.6882
125,heart_rate,39.4641
126,heart_rate,13.1036
127,heart_rate,28.7321
128,heart_rate,37.0396
129,heart_rate,47.9252
130,heart_rate,47.1885
131,heart_rate,62.1729
132,heart_rate,8.6946
133,heart_rate,41.1561
134,heart_rate,72.0059
135,heart_rate,26.9567
136,heart_rate,22.4247
137,heart_rate,14.7133
138,heart_rate,22.3666
139,heart_rate,38.5712
140,heart_rate,28.67
141,heart_rate,21.5535
142,heart_rate,44.2626
143,heart_rate,52.9021
144,heart_rate,40.6558
145,heart_rate,27.4596
146,heart_rate,52.1342
147,heart_rate,62.2478
148,heart_rate,9.6903
149,heart_rate,9.288
150,heart_rate,56.0889
151,heart_rate,16.2581
152,heart_rate,68.5945
153,heart_rate,1.4378
154,heart_rate,18.9128
155,heart_rate,59.9474
156,heart_rate,57.1522
157,heart_rate,12.1487
158,heart_rate,68.155
159,heart_rate,42.9375
160,heart_rate,26.1623
161,heart_rate,24.5626
162,heart_rate,37.4609
163,heart_rate,47.9606
164,heart_rate,8.5914
165,heart_rate,53.7853
166,heart_rate,58.4573
167,heart_rate,62.7807
168,heart_rate,15.8851
169,heart_rate,32.4239
170,heart_rate,18.2442
171,heart_rate,51.0637
172,heart_rate,10.0765
173,heart_rate,43.3624
174,heart_rate,1.9559
175,heart_rate,57.1326
176,heart_rate,57.0011
177,heart_rate,25.0256
178,heart_rate,46.7661
179,heart_rate,70.4401
180,heart_rate,47.2771
181,heart_rate,22.5091
182,heart_rate,24.2369
183,heart_rate,24.1203
184,heart_rate,44.8942
185,heart_rate,24.5717
186,heart_rate,23.6192
187,heart_rate,66.6604
188,heart_rate,50.0566
189,heart_rate,36.3085
190,heart_rate,6.0826
191,heart_rate,51.1478
192,heart_rate,56.2087
193,heart_rate,7.9906
194,heart_rate,51.0977
195,heart_rate,70.6234
196,heart_rate,25.0975
197,heart_rate,0.5539
198,heart_rate,58.3193
199,heart_rate,13.5611
200,heart_rate,34.3841
201,heart_rate,40.1485
202,heart_rate,70.1996
203,heart_rate,20.9372
204,heart_rate,69.9579
205,heart_rate,44.6132
206,heart_rate,47.8445
207,heart_rate,6.933
208,heart_rate,66.9811
209,heart_rate,41.657
210,heart_rate,5.9486
211,heart_rate,51.527
212,heart_rate,12.0898
213,heart_rate,56.2981
214,heart_rate,37.5324
215,heart_rate,10.7787
216,heart_rate,25.2434
217,heart_rate,45.2803
218,heart_rate,25.5826
219,heart_rate,17.4531
220,heart_rate,51.7518
221,heart_rate,65.074
222,heart_rate,72.5232
223,heart_rate,43.5621
224,heart_rate,49.4026
225,heart_rate,9.4994
226,heart_rate,19.7335
227,heart_rate,23.6796
